iter	Logloss
0	0.689547008
1	0.6868461616
2	0.6837574027
3	0.6812307133
4	0.6780758962
5	0.6743943144
6	0.6719121739
7	0.6680509625
8	0.6649778625
9	0.6623695347
10	0.6594128868
11	0.655609975
12	0.6524167654
13	0.649949582
14	0.647333014
15	0.6443993404
16	0.6417493333
17	0.6389694605
18	0.6368020727
19	0.633825583
20	0.6313670112
21	0.6287399436
22	0.6260171396
23	0.6235471368
24	0.6205192228
25	0.6179136086
26	0.6149344518
27	0.6130458738
28	0.6110185753
29	0.6089978885
30	0.6070654655
31	0.6045172534
32	0.6014510792
33	0.5988346612
34	0.596983599
35	0.5946172752
36	0.5922748432
37	0.5899528473
38	0.587685905
39	0.5844996669
40	0.5825580002
41	0.5798209871
42	0.5774764812
43	0.5743484694
44	0.5722820511
45	0.5699489921
46	0.5678503285
47	0.5661152134
48	0.5639365863
49	0.5620710048
50	0.5601120734
51	0.5582630748
52	0.5559678674
53	0.5538056547
54	0.5515190531
55	0.5492890352
56	0.5470039146
57	0.5447729102
58	0.5428990337
59	0.5415442047
60	0.5394215678
61	0.5382959968
62	0.5365357696
63	0.5346009366
64	0.5327587761
65	0.5305308052
66	0.5295505598
67	0.527384606
68	0.5252418755
69	0.5237143884
70	0.5220352591
71	0.5199975893
72	0.5179702133
73	0.5165465142
74	0.5149153293
75	0.5134958355
76	0.5115423117
77	0.5095136478
78	0.507732843
79	0.5072243087
80	0.5058017068
81	0.5032771697
82	0.5019983365
83	0.5005075934
84	0.4988034502
85	0.4971562862
86	0.4958985776
87	0.4943296664
88	0.4927669195
89	0.4913197438
90	0.4899303835
91	0.4881121468
92	0.4866592173
93	0.4849655891
94	0.4836253853
95	0.4822961101
96	0.4809088286
97	0.4790116273
98	0.4773827221
99	0.4762333244
100	0.4749049503
101	0.473879917
102	0.4719314684
103	0.470630953
104	0.4693028645
105	0.4677554232
106	0.4668455063
107	0.4657517991
108	0.4642847513
109	0.4630101484
110	0.4618490308
111	0.4600700621
112	0.4585752513
113	0.4573958523
114	0.4561272111
115	0.4545867811
116	0.4536891515
117	0.4523688041
118	0.4507326184
119	0.4489697408
120	0.4481083547
121	0.4469604837
122	0.4454002814
123	0.4438860297
124	0.4425969073
125	0.4414731595
126	0.4401050632
127	0.4390549983
128	0.4377221385
129	0.4363279022
130	0.4348988
131	0.4334196743
132	0.4317176549
133	0.4305119269
134	0.4293173691
135	0.4282157846
136	0.4267900411
137	0.4260120406
138	0.4247688641
139	0.4235412976
140	0.422557788
141	0.4216394513
142	0.4204501227
143	0.4196799778
144	0.418300531
145	0.4167451583
146	0.4154234727
147	0.4143471013
148	0.4136593714
149	0.4123141355
150	0.4111567299
151	0.4099125841
152	0.4091034996
153	0.4078471204
154	0.4065362358
155	0.4048555837
156	0.4039258649
157	0.4028959524
158	0.4018702126
159	0.4006818604
160	0.3996935809
161	0.3986311716
162	0.3976094546
163	0.3967739771
164	0.3959511608
165	0.3949384868
166	0.39367264
167	0.3926473224
168	0.3915014936
169	0.3906226942
170	0.3895855081
171	0.3887664422
172	0.3874753411
173	0.3865133609
174	0.3852795783
175	0.3843210101
176	0.3832832793
177	0.382459626
178	0.3816457593
179	0.3808907755
180	0.3801004994
181	0.3794513784
182	0.3786263393
183	0.3778791258
184	0.3767692554
185	0.3760497243
186	0.3752528413
187	0.3739931494
188	0.3731446895
189	0.3722560356
190	0.3714353877
191	0.3705311947
192	0.3697687931
193	0.3690886318
194	0.3681540602
195	0.3673926903
196	0.3668858979
197	0.3657797274
198	0.365070097
199	0.3641606649
200	0.3635473839
201	0.3628122922
202	0.362098441
203	0.3613921471
204	0.3608612678
205	0.3602063249
206	0.3595246168
207	0.358527622
208	0.3576150447
209	0.3568146284
210	0.3559726435
211	0.3552987466
212	0.3545586579
213	0.3535377944
214	0.3525837772
215	0.3515098143
216	0.3508460667
217	0.3501993147
218	0.3493250504
219	0.348675797
220	0.3477444978
221	0.3475120156
222	0.3467574659
223	0.345786617
224	0.3450895069
225	0.3442194137
226	0.3436103236
227	0.3429192153
228	0.3419851354
229	0.3414233803
230	0.3406197886
231	0.3396134677
232	0.3389693921
233	0.3382936987
234	0.337698797
235	0.3368525103
236	0.3361276425
237	0.3353962374
238	0.3350011788
239	0.3342783431
240	0.3333235767
241	0.3326505551
242	0.3318622429
243	0.3311317147
244	0.3305953911
245	0.3297121118
246	0.3291773594
247	0.3286350632
248	0.3281631329
249	0.32752768
250	0.3270031653
251	0.3263427949
252	0.3257207926
253	0.3249950081
254	0.3242178862
255	0.3235085909
256	0.3229354877
257	0.3219903137
258	0.321223864
259	0.3209249034
260	0.3203139592
261	0.3197225918
262	0.3191103644
263	0.3185874597
264	0.317909403
265	0.3169938093
266	0.3163998147
267	0.3158930172
268	0.3151827052
269	0.3147086202
270	0.3141495688
271	0.3136966237
272	0.3129680383
273	0.3123901073
274	0.3117810608
275	0.3112296163
276	0.3108430605
277	0.3101686767
278	0.3094095801
279	0.3087306908
280	0.3082410586
281	0.3074093845
282	0.3069856207
283	0.3064522112
284	0.3058078365
285	0.3052859128
286	0.304847973
287	0.3045382196
288	0.3038804868
289	0.3030270203
290	0.3023602183
291	0.3019126851
292	0.3011444118
293	0.3006115507
294	0.3001268266
295	0.2995678316
296	0.299182709
297	0.2987261877
298	0.2982062914
299	0.2976594377
300	0.2971012152
301	0.2968195797
302	0.2960363819
303	0.2956726259
304	0.295117103
305	0.2947067639
306	0.2939691904
307	0.2933092568
308	0.2928176775
309	0.2923901835
310	0.2920748621
311	0.2917608983
312	0.2914832565
313	0.2909624204
314	0.2901380358
315	0.2895989536
316	0.2890149292
317	0.2884221952
318	0.2878166937
319	0.2873127976
320	0.2869490949
321	0.286532248
322	0.2862758758
323	0.2856723188
324	0.2850208743
325	0.2845751121
326	0.2841079896
327	0.2833883804
328	0.2827997295
329	0.2823629804
330	0.2819189624
331	0.2813332604
332	0.2808573758
333	0.2803233282
334	0.279857406
335	0.2792151048
336	0.2788933538
337	0.2784686462
338	0.2781252202
339	0.2775787562
340	0.2770212129
341	0.2765211393
342	0.2761672353
343	0.2755870588
344	0.2750976515
345	0.2744678362
346	0.2741674519
347	0.2737714558
348	0.2733637952
349	0.2727880521
350	0.2720620949
351	0.2714456452
352	0.2710031983
353	0.2706972326
354	0.2702707044
355	0.2699284183
356	0.2695593457
357	0.2692142939
358	0.2686965453
359	0.268289299
360	0.2678447796
361	0.2674873487
362	0.2671710149
363	0.2667147222
364	0.2663884679
365	0.2659528375
366	0.2655458689
367	0.2650613016
368	0.2646668509
369	0.2643304984
370	0.2639478152
371	0.2634768593
372	0.2626269188
373	0.2621733792
374	0.2617670881
375	0.2612103353
376	0.2607674786
377	0.2601642537
378	0.2596959067
379	0.2592395731
380	0.2589185897
381	0.2584447285
382	0.2579519686
383	0.2575641558
384	0.2571859397
385	0.2568937815
386	0.2563760859
387	0.2560253687
388	0.2557085269
389	0.2554545666
390	0.2552553281
391	0.2549145195
392	0.2543234552
393	0.2539253153
394	0.2536877935
395	0.2534296791
396	0.2531646866
397	0.2527856244
398	0.2525117854
399	0.252142483
400	0.2518919679
401	0.2512747211
402	0.2508425881
403	0.2505898859
404	0.2503209982
405	0.2498310213
406	0.2494311226
407	0.2490407949
408	0.2486753982
409	0.2483782114
410	0.2480517574
411	0.247606206
412	0.2471255385
413	0.2466927667
414	0.2462587085
415	0.2458677113
416	0.2452868987
417	0.2447892982
418	0.2445714246
419	0.2442018142
420	0.2439666794
421	0.2435308594
422	0.2431361096
423	0.2427853141
424	0.2423854973
425	0.2419420804
426	0.241576121
427	0.2412247295
428	0.2408527589
429	0.2404586842
430	0.2401944772
431	0.2398811055
432	0.2392562205
433	0.2388705414
434	0.2385203908
435	0.2382274361
436	0.2378225403
437	0.2374203418
438	0.2370629976
439	0.2368046876
440	0.2365751692
441	0.2362277519
442	0.2359233912
443	0.2353827136
444	0.2350954279
445	0.2347377484
446	0.2345218094
447	0.2342219291
448	0.2339460193
449	0.2335246833
450	0.2331302321
451	0.233028835
452	0.2326076965
453	0.2323990925
454	0.2320548181
455	0.2317233743
456	0.2313475851
457	0.2312993881
458	0.2310212272
459	0.2306484482
460	0.2302429777
461	0.2301368661
462	0.2298932546
463	0.2294047567
464	0.2291040657
465	0.2286489093
466	0.2283023168
467	0.2280042253
468	0.227675468
469	0.2272835464
470	0.2269578051
471	0.2265641493
472	0.2262872423
473	0.22596048
474	0.2257233305
475	0.2255124802
476	0.2252214157
477	0.2248365916
478	0.2245957443
479	0.2243573626
480	0.2240944754
481	0.2236760165
482	0.2234235773
483	0.2231681
484	0.2229138693
485	0.2228862919
486	0.2224423803
487	0.2223412792
488	0.2221215667
489	0.2219595103
490	0.2219431647
491	0.2216950405
492	0.2212724502
493	0.2210097552
494	0.2205876064
495	0.2203455667
496	0.2199788044
497	0.2197198911
498	0.2194436133
499	0.2190207472
500	0.2186891368
501	0.2183236828
502	0.217906739
503	0.2175584062
504	0.217173384
505	0.2168715476
506	0.2165735974
507	0.2162332686
508	0.2159252869
509	0.2155547893
510	0.2153108297
511	0.2149512088
512	0.2147183786
513	0.2145891308
514	0.2142600674
515	0.2138826958
516	0.2136430631
517	0.2133562457
518	0.2131636126
519	0.2130011087
520	0.2127690685
521	0.2126094576
522	0.2123137238
523	0.2121247658
524	0.2117475881
525	0.2114914854
526	0.2110702385
527	0.2109121344
528	0.2106166117
529	0.2103101891
530	0.2100311538
531	0.2098104366
532	0.2096060189
533	0.2093584662
534	0.2091717813
535	0.2087031684
536	0.2083151076
537	0.2081138924
538	0.2078349182
539	0.2074745106
540	0.20727598
541	0.206916022
542	0.2066377598
543	0.2064221482
544	0.2062044339
545	0.2059574926
546	0.2056741233
547	0.2053998635
548	0.2050861569
549	0.2047864637
550	0.2044056588
551	0.2041485009
552	0.2038815436
553	0.203658347
554	0.2032458672
555	0.2029651316
556	0.2027177248
557	0.2025138584
558	0.2020988278
559	0.2019204357
560	0.2016126256
561	0.2014509633
562	0.2013024861
563	0.2010461163
564	0.2007810651
565	0.2005549453
566	0.2003801435
567	0.200042701
568	0.1997580516
569	0.1995783525
570	0.1993543407
571	0.1991476927
572	0.1986491888
573	0.1982398472
574	0.1979034037
575	0.197634476
576	0.1975162667
577	0.1972707078
578	0.1969602472
579	0.1967151608
580	0.1965262141
581	0.1962333775
582	0.1958636403
583	0.1955800938
584	0.1952763098
585	0.1949812113
586	0.1946689426
587	0.1945416033
588	0.1943555513
589	0.1940713032
590	0.1938756809
591	0.1936981823
592	0.193439908
593	0.1931302006
594	0.1928844544
595	0.1927361836
596	0.1925138367
597	0.1923295078
598	0.1919885739
599	0.1918628282
600	0.1916430122
601	0.1913798643
602	0.1911935262
603	0.190911434
604	0.1908216893
605	0.1907230312
606	0.1904535206
607	0.190268052
608	0.1899573631
609	0.1897143442
610	0.1893944533
611	0.1892246019
612	0.1890478129
613	0.1887955584
614	0.1886235309
615	0.1884039719
616	0.1881974867
617	0.187962727
618	0.187826523
619	0.1876668949
620	0.187465386
621	0.1872202986
622	0.1870746617
623	0.1868194991
624	0.1866043776
625	0.1861821386
626	0.1860297099
627	0.1858636426
628	0.1855660735
629	0.1853726919
630	0.184929128
631	0.1847146584
632	0.1845408455
633	0.184262985
634	0.1841800538
635	0.1838056693
636	0.1835116503
637	0.1832520127
638	0.1830319089
639	0.182742712
640	0.1823748639
641	0.1821278287
642	0.1819930293
643	0.181758
644	0.1816004871
645	0.1814659494
646	0.1812927893
647	0.1810076613
648	0.1807755621
649	0.1806300136
650	0.1804184807
651	0.1801949436
652	0.1799241195
653	0.1797617016
654	0.1793795595
655	0.1790827538
656	0.1788982655
657	0.1786242424
658	0.1782821927
659	0.1780282013
660	0.1778652691
661	0.1777181298
662	0.1774583071
663	0.1772367314
664	0.1770177765
665	0.1768523593
666	0.176747442
